УАД/ТУД,Монтируемая ёмкость,Задействованная ёмкость,Свободно,Тип,Информация
УАД-77,648,232,416,NOKIA7302_R571,"г.Н.Новгород ул.Канавинская,18"
ТУД-1,360,144,216,NOKIA7330_R571,г.Н.Новгород ул.Чкалова у дома 7
ТУД-2,288,112,176,NOKIA7330_R571,"г.Н.Новгород ул. Зеленодольская,29"
ТУД-3,360,147,213,NOKIA7330_R571,г.Н.Новгород Парк 1 Мая у входа
ТУД-4,360,145,215,NOKIA7330_R571,"г.Н.Новгород ул.Чкалова, у дома 28"
ТУД-5,432,207,225,NOKIA7330_R571,"г.Н.Новгород ул.Мурашкинская, у дома 16"
ТУД-6,360,145,215,NOKIA7330_R571,"г.Н.Новгород ул.Ивана Романова, у дома 2"
ТУД-7,288,145,143,NOKIA7330_R571,"г.Н.Новгород бульвар Мира, у дома 10"
ТУД-8,432,240,192,NOKIA7330_R571,"г.Н.Новгород бульвар Мира, у дома 11"
ТУД-9,432,168,264,NOKIA7330_R571,"г.Н.Новгород ул.Мануфактурная, у д.№9"
ТУД-10,288,94,194,NOKIA7330_R571,г.Н.Новгород ул.Совнаркомовская у дома 28
ТУД-11,288,137,151,NOKIA7330_R571,"г.Н.Новгород ул.Совнаркомовская, 6а"
ТУД-12,288,101,187,NOKIA7330_R571,г.Н.Новгород ул.С.Есенина у дома 5
ТУД-13,288,150,138,NOKIA7330_R571,г.Н.Новгород ул.Луначарского у дома 23
ТУД-14,216,67,149,NOKIA7330_R571,"г.Н.Новгород ул.Интернациональная, 15"
ТУД-15,72,16,56,NOKIA7330_R571,г.Н.Новгород ул.Долгополова у дома 45А
ТУД-16,288,148,140,NOKIA7330_R571,г.Н.Новгород ул. Приокская у дома 15
ТУД-18,144,35,109,NOKIA7330_R571,"г.Н.Новгород ул.Зеленодольская,52"
ТУД-19,72,51,21,NOKIA7330_R571,г.Н.Новгород Бадайбинский пер. у дома 23
ТУД-20,144,36,108,NOKIA7330_R571,"г.Н.Новгород ул.Долгополова,21а"
ТУД-21,288,147,141,NOKIA7330_R571,"г.Н.Новгород ул. Кожевенная,18 РШ 3340"
ТУД-22,216,110,106,NOKIA7330_R571,"г.Н.Новгород ул.Рождественская,39 РШ 3337"
ТУД-23,216,160,56,NOKIA7330_R571,"г.Н.Новгород ул.Рождественская,26 РШ 3336"
ТУД-24,360,256,104,NOKIA7330_R571,"г.Н.Новгород ул.Ильинская,51 РШ 3003,3333"
ТУД-125,448,300,148,MA5600_V800R018,"г.Н.Новгород ул.Батумская,7а"
ТУД-126,512,306,206,MA5600_V800R018,"г.Н.Новгород ул.Батумская,2"
ТУД-127,640,465,175,MA5600_V800R018,"г.Н.Новгород ул.Столетова,2"
ТУД-128,640,426,214,MA5600_V800R018,"г.Н.Новгород ул. Бонч-Бруевича, д.1"
ТУД-129,512,332,180,MA5600_V800R018,"г.Н.Новгород ул. Луганская, у дома 1"
ТУД-130,320,232,88,MA5603_V800R018,"г.Н.Новгород ул. Терешковой, д.4"
ТУД-131,576,380,196,MA5600_V800R018,"г.Н.Новгород ул. Сурикова, д.10"
ТУД-132,512,331,181,MA5600_V800R018,"г.Н.Новгород ул. Медицинская, д.4"
ТУД-133,384,292,92,MA5603_V800R018,"г.Н.Новгород ул. Бекетова, д.6"
ТУД-134,112,71,41,MA5616_V800R018,"г.Н.Новгород ул. Нартова, д.7"
ТУД-135,128,89,39,MA5616_V800R018,"г.Н.Новгород пр. Гагарина,11 Станционный MSAN"
ТУД-136,704,532,172,MA5600_V800R018,"г.Н.Новгород ПС-462/1 (Горная, 11) - Станционный MSAN"
ТУД-137,192,118,74,MA5603_V800R018,"г.Н.Новгород ул. Горная, д.3"
ТУД-138,384,242,142,MA5603_V800R018,"г.Н.Новгород ул. Пятигорская, у дома 6"
ТУД-139,640,448,192,MA5600_V800R018,"г.Н.Новгород ул.40 лет Октября, д.16"
ТУД-140,384,267,117,MA5603_V800R018,"г.Н.Новгород ул. Карбышева, д.1"
ТУД-141,384,233,151,MA5603_V800R018,"г.Н.Новгород ул. Шатковская, д.15"
ТУД-142,256,117,139,MA5603_V800R018,"г.Н.Новгород пр. Гагарина, д.168а"
ТУД-ОБЛ-Сергач-1,176,58,118,MA5818_V800R019,Нижегородская обл. г.Сергач ул.Красная 3а
УАД-5/1,1888,1888,0,UA5000_V100R019,"г.Н.Новгород, ул.Карла Маркса,15"
DZR ТУД-1,704,492,212,MA5600_V800R018,"г.Дзержинск, ул.Гайдара,28"
